Match ID,Home ID,Away ID,Home Name,Away Name,Home Formation,Away Formation,Home Goals,Away Goals,Home Goals Conceded,Away Goals Conceded,Home Passes,Away Passes,Red Cards Home,Red Cards Away,Home Pass Quality,Away Pass Quality
38490,6,46,Crystal Palace,Cardiff,442.0,541.0,0.0,0.0,0.0,0.0,487.0,303.0,0.0,0.0,0.75,0.65
38661,34,46,Fulham,Cardiff,4231.0,4231.0,1.0,0.0,0.0,1.0,623.0,220.0,0.0,0.0,0.65,0.65
38502,26,46,Leicester,Cardiff,4231.0,4141.0,0.0,1.0,1.0,0.0,448.0,273.0,0.0,0.0,0.85,0.65
38403,10,46,Liverpool,Cardiff,4231.0,4411.0,4.0,1.0,1.0,4.0,818.0,207.0,0.0,0.0,0.95,0.65
38684,12,46,Man Utd,Cardiff,4312.0,4411.0,0.0,2.0,2.0,0.0,620.0,223.0,0.0,0.0,0.95,0.65
38564,20,46,Southampton,Cardiff,352.0,3412.0,1.0,2.0,2.0,1.0,539.0,267.0,0.0,0.0,0.65,0.65
38386,21,46,Spurs,Cardiff,442.0,4141.0,1.0,0.0,0.0,1.0,685.0,222.0,0.0,1.0,0.95,0.65
38476,33,46,Watford,Cardiff,4222.0,4141.0,3.0,2.0,2.0,3.0,663.0,255.0,0.0,0.0,0.75,0.65
38632,11,46,Man City,Cardiff,433.0,4411.0,2.0,0.0,0.0,2.0,676.0,185.0,0.0,0.0,0.95,0.65
38349,4,46,Chelsea,Cardiff,433.0,4411.0,4.0,1.0,1.0,4.0,766.0,227.0,0.0,0.0,0.95,0.65
38331,159,46,Huddersfield,Cardiff,4231.0,4141.0,0.0,0.0,0.0,0.0,396.0,289.0,1.0,0.0,0.65,0.65
38538,1,46,Arsenal,Cardiff,4312.0,352.0,2.0,1.0,1.0,2.0,590.0,232.0,0.0,0.0,0.85,0.65
38309,127,46,Bournemouth,Cardiff,442.0,4141.0,2.0,0.0,0.0,2.0,502.0,287.0,0.0,0.0,0.75,0.65
38454,25,46,West Ham,Cardiff,442.0,4141.0,3.0,1.0,1.0,3.0,461.0,295.0,0.0,0.0,0.75,0.65
38597,38,46,Wolves,Cardiff,352.0,41212.0,2.0,0.0,0.0,2.0,473.0,354.0,0.0,0.0,0.65,0.65
38534,23,46,Newcastle,Cardiff,541.0,442.0,3.0,0.0,0.0,3.0,375.0,325.0,0.0,0.0,0.85,0.65
38431,7,46,Everton,Cardiff,4231.0,4141.0,1.0,0.0,0.0,1.0,517.0,220.0,0.0,0.0,0.85,0.65
38638,131,127,Brighton,Bournemouth,433.0,442.0,0.0,5.0,5.0,0.0,470.0,480.0,1.0,0.0,0.75,0.75
38360,43,127,Burnley,Bournemouth,4411.0,442.0,4.0,0.0,0.0,4.0,360.0,604.0,0.0,0.0,0.85,0.75
38680,6,127,Crystal Palace,Bournemouth,442.0,4411.0,5.0,3.0,3.0,5.0,429.0,517.0,0.0,0.0,0.75,0.75
38401,34,127,Fulham,Bournemouth,4231.0,343.0,0.0,3.0,3.0,0.0,547.0,495.0,1.0,0.0,0.65,0.75
38624,26,127,Leicester,Bournemouth,4141.0,442.0,2.0,0.0,0.0,2.0,605.0,423.0,0.0,0.0,0.85,0.75
38562,10,127,Liverpool,Bournemouth,433.0,451.0,3.0,0.0,0.0,3.0,707.0,363.0,0.0,0.0,0.95,0.75
38504,12,127,Man Utd,Bournemouth,4231.0,352.0,4.0,1.0,1.0,4.0,681.0,355.0,1.0,0.0,0.95,0.75
38665,20,127,Southampton,Bournemouth,433.0,532.0,3.0,3.0,3.0,3.0,351.0,459.0,0.0,0.0,0.65,0.75
38496,21,127,Spurs,Bournemouth,4231.0,4141.0,5.0,0.0,0.0,5.0,599.0,449.0,0.0,0.0,0.95,0.75
38387,33,127,Watford,Bournemouth,4222.0,442.0,0.0,4.0,4.0,0.0,374.0,426.0,1.0,0.0,0.75,0.75
38445,11,127,Man City,Bournemouth,433.0,541.0,3.0,1.0,1.0,3.0,786.0,286.0,0.0,0.0,0.95,0.75
38341,4,127,Chelsea,Bournemouth,433.0,343.0,2.0,0.0,0.0,2.0,704.0,252.0,0.0,0.0,0.95,0.75
38602,159,127,Huddersfield,Bournemouth,4231.0,442.0,0.0,2.0,2.0,0.0,462.0,372.0,0.0,0.0,0.65,0.75
38578,1,127,Arsenal,Bournemouth,3421.0,442.0,5.0,1.0,1.0,5.0,650.0,346.0,0.0,0.0,0.85,0.75
38327,25,127,West Ham,Bournemouth,442.0,442.0,1.0,2.0,2.0,1.0,494.0,321.0,0.0,0.0,0.75,0.75
38477,38,127,Wolves,Bournemouth,3412.0,3421.0,2.0,0.0,0.0,2.0,389.0,633.0,0.0,0.0,0.65,0.75
38550,46,127,Cardiff,Bournemouth,4141.0,4411.0,2.0,0.0,0.0,2.0,218.0,615.0,0.0,0.0,0.65,0.75
38426,23,127,Newcastle,Bournemouth,4411.0,4411.0,2.0,1.0,1.0,2.0,323.0,505.0,0.0,0.0,0.85,0.75
38523,7,127,Everton,Bournemouth,4231.0,4411.0,2.0,0.0,0.0,2.0,396.0,378.0,0.0,0.0,0.85,0.75
38619,131,20,Brighton,Southampton,433.0,4222.0,0.0,1.0,1.0,0.0,525.0,346.0,0.0,0.0,0.75,0.65
38549,43,20,Burnley,Southampton,442.0,352.0,1.0,1.0,1.0,1.0,457.0,404.0,0.0,0.0,0.85,0.65
38342,6,20,Crystal Palace,Southampton,442.0,442.0,0.0,2.0,2.0,0.0,432.0,423.0,0.0,0.0,0.75,0.65
38432,34,20,Fulham,Southampton,4231.0,4231.0,3.0,2.0,2.0,3.0,370.0,600.0,0.0,0.0,0.65,0.65
38524,26,20,Leicester,Southampton,433.0,3421.0,1.0,2.0,2.0,1.0,552.0,227.0,0.0,1.0,0.85,0.65
38365,10,20,Liverpool,Southampton,4231.0,4141.0,3.0,0.0,0.0,3.0,750.0,479.0,0.0,0.0,0.95,0.65
38593,12,20,Man Utd,Southampton,4312.0,3421.0,3.0,2.0,2.0,3.0,511.0,282.0,0.0,0.0,0.95,0.65
38457,21,20,Spurs,Southampton,4231.0,4231.0,3.0,1.0,1.0,3.0,527.0,473.0,0.0,0.0,0.95,0.65
38615,33,20,Watford,Southampton,4222.0,3421.0,1.0,1.0,1.0,1.0,599.0,359.0,0.0,0.0,0.75,0.65
38414,11,20,Man City,Southampton,433.0,4321.0,6.0,1.0,1.0,6.0,729.0,341.0,0.0,0.0,0.95,0.65
38511,4,20,Chelsea,Southampton,433.0,541.0,0.0,0.0,0.0,0.0,748.0,296.0,0.0,0.0,0.95,0.65
38483,159,20,Huddersfield,Southampton,3412.0,3421.0,1.0,3.0,3.0,1.0,523.0,329.0,0.0,0.0,0.65,0.65
38568,1,20,Arsenal,Southampton,4231.0,3511.0,2.0,0.0,0.0,2.0,582.0,346.0,0.0,0.0,0.85,0.65
38389,127,20,Bournemouth,Southampton,442.0,442.0,0.0,0.0,0.0,0.0,458.0,346.0,0.0,0.0,0.75,0.65
38676,25,20,West Ham,Southampton,4141.0,442.0,3.0,0.0,0.0,3.0,520.0,384.0,0.0,0.0,0.75,0.65
38377,38,20,Wolves,Southampton,3421.0,442.0,2.0,0.0,0.0,2.0,425.0,444.0,0.0,0.0,0.65,0.65
38461,46,20,Cardiff,Southampton,4141.0,4321.0,1.0,0.0,0.0,1.0,248.0,448.0,0.0,0.0,0.65,0.65
38655,23,20,Newcastle,Southampton,541.0,3421.0,3.0,1.0,1.0,3.0,320.0,417.0,0.0,0.0,0.85,0.65
38323,7,20,Everton,Southampton,4231.0,442.0,2.0,1.0,1.0,2.0,423.0,299.0,0.0,0.0,0.85,0.65
38589,131,159,Brighton,Huddersfield,433.0,41212.0,1.0,0.0,0.0,1.0,455.0,413.0,0.0,0.0,0.75,0.65
38379,43,159,Burnley,Huddersfield,442.0,4231.0,1.0,1.0,1.0,1.0,275.0,580.0,0.0,0.0,0.85,0.65
38622,6,159,Crystal Palace,Huddersfield,433.0,4231.0,2.0,0.0,0.0,2.0,423.0,449.0,0.0,0.0,0.75,0.65
38501,34,159,Fulham,Huddersfield,3421.0,3511.0,1.0,0.0,0.0,1.0,395.0,529.0,0.0,0.0,0.65,0.65
